track_id,genre,real_track_id,path,artist,album,title,spotify_track_id,
1,classical,1,/content/classical/1.mp3,Voices of Music,"Bach and Telemann - Sonatas, Preludes and Fantasias",Trio Sonata in C Major BWV 529-2. Largo (JS Bach),3noCucxyyYHVjoZUcgwFne,https://open.spotify.com/track/3noCucxyyYHVjoZUcgwFne
2,classical,2,/content/classical/2.mp3,Musica Franca,Boismortier - Sonatas for Two Bassoons and Continuo,21 - Sonata No. 2 in G major Op. 50 - Largo ,5PyUN8q3mhhLisP5T1FkoS,https://open.spotify.com/track/5PyUN8q3mhhLisP5T1FkoS
3,classical,3,/content/classical/3.mp3,Gonzalo X Ruiz,Imported from Italy,Sonata for Violoncello and Basso Continuo in Bb: Allegro - RV 43 (Vivaldi),1Is9g3H5cE1WkrCYRARQr0,https://open.spotify.com/track/1Is9g3H5cE1WkrCYRARQr0
4,classical,4,/content/classical/4.mp3,Ivan Ilic,"Elegance and Refinement - Baroque Suites, French Sweets",Handel- Suite in Fa Major (Adagio),0GxOPfVpmkKNoem5rKurNc,https://open.spotify.com/track/0GxOPfVpmkKNoem5rKurNc
5,classical,5,/content/classical/5.mp3,Ivan Ilic,Romantic - Powerful Miniatures by Schumann and Brahms,Intermezzo in B flat Minor Opus 117 No.2 (Johannes Brahms),2hmC0upWZmAkg9ZwSDHD7Q,https://open.spotify.com/track/2hmC0upWZmAkg9ZwSDHD7Q
6,classical,6,/content/classical/6.mp3,Daniel Ben Pienaar,JS Bach - Book 1 CD2 Well-Tempered Clavier,Prelude and Fugue No 13 in F-sharp major,4aYA8f11fOfA375RZdNfCW,https://open.spotify.com/track/4aYA8f11fOfA375RZdNfCW
7,classical,7,/content/classical/7.mp3,Voices of Music,"Bach and Telemann - Sonatas, Preludes and Fantasias",Trio Sonata in D minor-1 Allegro (Telemann),15biOfRTqZrfLxe6P1ddoh,https://open.spotify.com/track/15biOfRTqZrfLxe6P1ddoh
8,classical,8,/content/classical/8.mp3,Edward Martin,Allemande,Suite in C Major-1 Prelude-Johann Gottfried Conradi,3alsYfAMWcYaBOhoxzp5Re,https://open.spotify.com/track/3alsYfAMWcYaBOhoxzp5Re
9,classical,9,/content/classical/9.mp3,Magnatune Compilation,Romantic Dinner Classical Compilation,Sonnerie - from Handel Trio Sonatas,3bhUaQfHR9l98boGu6Q24a,https://open.spotify.com/track/3bhUaQfHR9l98boGu6Q24a
10,classical,10,/content/classical/10.mp3,Cary Chow,Zirkus - Step Inside - Piano Music of Robert Schumann,Carnaval Opus 9 - Preambule,2Z4XKdoR9IkDSfbmYMc1AN,https://open.spotify.com/track/2Z4XKdoR9IkDSfbmYMc1AN
